# ASTM E-490 AM0 Standard Spectra	
# Wavelength (micron)	W*m^{-2}*nm^{-1}
1.284	0.4259
1.286	0.4328
1.288	0.4314
1.29	0.4255
1.292	0.4254
1.294	0.4223
1.296	0.4224
1.298	0.4184
1.3	0.4186
1.302	0.4139
1.304	0.4111
1.306	0.4136
1.308	0.4123
1.31	0.4106
1.312	0.4033
1.314	0.4022
1.316	0.3979
1.318	0.4017
1.32	0.4016
1.322	0.3986
1.324	0.3981
1.326	0.3949
1.328	0.3908
1.33	0.3878
1.332	0.3863
1.334	0.3892
1.336	0.3866
1.338	0.3832
1.34	0.379
1.342	0.3805
1.344	0.3798
1.346	0.3772
1.348	0.3766
1.35	0.3724
1.352	0.3742
1.354	0.3722
1.356	0.3675
1.358	0.3688
1.36	0.3673
1.362	0.3677
1.364	0.3657
1.366	0.3657
1.368	0.3628
1.37	0.3599
1.372	0.3621
1.374	0.3611
1.376	0.3561
1.378	0.358
1.38	0.3579
1.382	0.3545
1.384	0.3547
1.386	0.3532
1.388	0.353
1.39	0.3506
1.392	0.3513
1.394	0.3488
1.396	0.3487
1.398	0.3492
1.4	0.3427
1.402	0.3439
1.404	0.3428
1.406	0.3431
1.408	0.3427
1.41	0.3418
1.412	0.3348
1.414	0.3377
1.416	0.3385
1.418	0.3386
1.42	0.3357
1.422	0.3315
1.424	0.3311
1.426	0.3281
1.428	0.3285
1.43	0.3257
1.432	0.33
1.434	0.3284
1.436	0.3285
1.438	0.3283
1.44	0.3188
1.442	0.3186
1.444	0.3197
1.446	0.3216
1.448	0.3216
1.45	0.3187
1.452	0.3154
1.454	0.3143
1.456	0.3131
1.458	0.3167
1.46	0.3156
1.462	0.3121
1.464	0.3105
1.466	0.3108
1.468	0.3114
1.47	0.3102
1.472	0.3073
1.474	0.3034
1.476	0.3048
1.478	0.3044
1.48	0.3068
1.482	0.3044
1.484	0.3039
1.486	0.3033
1.488	0.2855
1.49	0.3015
1.492	0.3018
1.494	0.3033
1.496	0.2972
1.498	0.2994
1.5	0.3011
1.502	0.2924
1.504	0.2799
1.506	0.2848
1.508	0.2919
1.51	0.2947
1.512	0.2913
1.514	0.2883
1.516	0.2882
1.518	0.2884
1.52	0.2866
1.522	0.2824
1.524	0.2835
1.526	0.2846
1.528	0.2846
1.53	0.2765
1.532	0.2823
1.534	0.2784
1.536	0.2806
1.538	0.2773
1.54	0.273
1.542	0.2753
1.544	0.2778
1.546	0.2772
1.548	0.2711
1.55	0.2713
1.552	0.2731
1.554	0.2676
1.556	0.2671
1.558	0.2689
1.56	0.2683
1.562	0.2697
1.564	0.2669
1.566	0.2654
1.568	0.2633
1.57	0.2645
1.572	0.2673
1.574	0.261
1.576	0.2536
1.578	0.2547
1.58	0.265
1.582	0.259
1.584	0.2591
1.586	0.2599
1.588	0.249
1.59	0.2405
1.592	0.2526
1.594	0.2583
1.596	0.2506
1.598	0.2545
1.6	0.2512
1.602	0.2489
1.604	0.2497
1.606	0.2477
1.608	0.2491
1.61	0.24
1.612	0.243
1.614	0.2449
1.616	0.2374
1.618	0.2423
1.62	0.2369
1.622	0.2383
1.624	0.2416
1.626	0.2402
1.628	0.2418
1.63	0.2393
1.632	0.2387
1.634	0.2359
1.636	0.2357
1.638	0.2274
1.64	0.2262
1.642	0.2266
1.644	0.2278
1.646	0.2294
1.648	0.2292
1.65	0.2272
1.652	0.2268
1.654	0.2262
1.656	0.226
1.658	0.2252
1.66	0.2245
1.662	0.2246
1.664	0.2227
1.666	0.2212
1.668	0.2193
1.67	0.2225
1.672	0.2173
1.674	0.2193
1.676	0.2161
1.678	0.2168
1.68	0.208
1.682	0.2054
1.684	0.2129
1.686	0.2131
1.688	0.212
1.69	0.2105
1.692	0.2123
1.694	0.2112
1.696	0.21
1.698	0.2089
1.7	0.2063
1.702	0.2047
1.704	0.2052
1.706	0.205
1.708	0.2017
1.71	0.2013
1.712	0.1982
1.714	0.2037
1.716	0.2022
1.718	0.201
1.72	0.1993
1.722	0.1975
1.724	0.1954
1.726	0.1982
1.728	0.1971
1.73	0.1984
1.732	0.1936
1.734	0.1874
1.736	0.1827
1.738	0.1863
1.74	0.1905
1.742	0.1902
1.744	0.1907
1.746	0.1867
1.748	0.1872
1.75	0.1858
1.752	0.185
1.754	0.1856
1.756	0.1849
1.758	0.1843
1.76	0.1831
1.762	0.1793
1.764	0.1807
1.766	0.1817
1.768	0.1802
1.77	0.1791
1.772	0.1794
1.774	0.1792
1.776	0.1763
1.778	0.1747
1.78	0.1756
1.782	0.1747
1.784	0.1735
1.786	0.1739
1.788	0.1747
1.79	0.1733
1.792	0.1721
1.794	0.1709
1.796	0.1706
1.798	0.1703
1.8	0.1699
1.802	0.1672
1.804	0.1688
1.806	0.1688
1.808	0.1685
1.81	0.1686
1.812	0.1675
1.814	0.1658
1.816	0.1605
1.818	0.152
1.82	0.1596
1.822	0.1598
1.824	0.1624
1.826	0.1628
1.828	0.1611
1.83	0.1606
1.832	0.1593
1.834	0.1585
1.836	0.1581
1.838	0.1562
1.84	0.1562
1.842	0.154
1.844	0.1541
1.846	0.1535
1.848	0.151
1.85	0.1546
1.852	0.1534
1.854	0.1525
1.856	0.1509
1.858	0.1525
1.86	0.1503
1.862	0.1504
1.864	0.1509
1.866	0.1494
1.868	0.1492
1.87	0.1508
1.872	0.1473
1.874	0.1401
1.876	0.1299
1.878	0.1441
1.88	0.1462
1.882	0.1474
1.884	0.1464
1.886	0.1439
1.888	0.1453
1.89	0.1424
1.892	0.1408
1.894	0.1396
1.896	0.1373
1.898	0.139
1.9	0.1397
1.902	0.1409
1.904	0.1386
1.906	0.139
1.908	0.1377
1.91	0.1378
1.912	0.1354
1.914	0.137
1.916	0.136
1.918	0.1353
1.92	0.1333
1.922	0.135
1.924	0.1341
1.926	0.1344
1.928	0.1322
1.93	0.1313
1.932	0.1308
1.934	0.132
1.936	0.1328
1.938	0.1321
1.94	0.1299
1.942	0.1294
1.944	0.1203
1.946	0.1192
1.948	0.1271
1.95	0.1261
1.952	0.1255
1.954	0.1286
1.956	0.1276
1.958	0.1271
1.96	0.1261
1.962	0.124
1.964	0.1222
1.966	0.1231
1.968	0.124
1.97	0.1239
1.972	0.1213
1.974	0.1208
1.976	0.1224
1.978	0.1194
1.98	0.1196
1.982	0.1205
1.984	0.1197
1.986	0.1178
1.988	0.1195
1.99	0.1198
1.992	0.118
1.994	0.1162
1.996	0.1173
1.998	0.1159
2	0.117
2.002	0.1161
2.004	0.1148
2.006	0.1147
2.008	0.1154
2.01	0.1149
2.012	0.1145
2.014	0.1138
2.016	0.1137
2.018	0.1134
2.02	0.1116
2.022	0.1107
2.024	0.1116
2.026	0.1115
2.028	0.1107
2.03	0.1086
2.032	0.1098
2.034	0.1092
2.036	0.1083
2.038	0.1064
2.04	0.1078
2.042	0.1076
2.044	0.1076
2.046	0.1071
2.048	0.1063
2.05	0.1059
2.052	0.1047
2.054	0.1046
2.056	0.1046
2.058	0.104
2.06	0.1028
2.062	0.1023
2.064	0.1005
2.066	0.1025
2.068	0.1019
2.07	0.1003
2.072	0.1004
2.074	0.1009
2.076	0.1006
2.078	0.1
2.08	0.09878
2.082	0.09864
2.084	0.09772
2.086	0.09852
2.088	0.09835
2.09	0.09788
2.092	0.09567
2.094	0.09593
2.096	0.0958
2.098	0.0962
2.1	0.09606
2.102	0.09577
2.104	0.09559
2.106	0.09574
2.108	0.09513
2.11	0.09396
2.112	0.09452
2.114	0.09436
2.116	0.09331
2.118	0.09311
2.12	0.09275
2.122	0.09275
2.124	0.09189
2.126	0.09208
2.128	0.09225
2.13	0.09209
2.132	0.0921
2.134	0.09155
2.136	0.09012
2.138	0.0911
2.14	0.09083
2.142	0.09064
2.144	0.09006
2.146	0.08939
2.148	0.08979
2.15	0.08957
2.152	0.08913
2.154	0.08878
2.156	0.08874
2.158	0.08842
2.16	0.08781
2.162	0.08686
2.164	0.08456
2.166	0.07849
2.168	0.083
2.17	0.08557
2.172	0.08591
2.174	0.08592
2.176	0.08532
2.178	0.08425
2.18	0.08497
2.182	0.08425
2.184	0.08457
2.186	0.08465
2.188	0.08277
2.19	0.08304
2.192	0.08377
2.194	0.08349
2.196	0.08318
2.198	0.08299
2.2	0.08265
2.202	0.0823
2.204	0.08211
2.206	0.07966
2.208	0.07966
2.21	0.0808
2.212	0.08105
2.214	0.08072
2.216	0.07994
2.218	0.0797
2.22	0.07997
2.222	0.07962
2.224	0.07926
2.226	0.07811
2.228	0.07826
2.23	0.07831
2.232	0.07815
2.234	0.07802
2.236	0.07758
2.238	0.07648
2.24	0.07639
2.242	0.07642
2.244	0.07624
2.246	0.07612
2.248	0.0752
2.25	0.07541
2.252	0.07512
2.254	0.07402
2.256	0.07422
2.258	0.07441
2.26	0.07421
2.262	0.07299
2.264	0.07329
2.266	0.07315
2.268	0.07327
2.27	0.07297
2.272	0.07277
2.274	0.07252
2.276	0.07239
2.278	0.07242
2.28	0.07165
2.282	0.07007
2.284	0.07125
2.286	0.07124
2.288	0.07127
2.29	0.0711
2.292	0.07067
2.294	0.0692
2.296	0.06908
2.298	0.06919
2.3	0.06953
2.302	0.06955
2.304	0.06931
2.306	0.06923
2.308	0.06901
2.31	0.0687
2.312	0.06867
2.314	0.06826
2.316	0.06779
2.318	0.06745
2.32	0.06768
2.322	0.06675
2.324	0.06536
2.326	0.06559
2.328	0.06629
2.33	0.06616
2.332	0.06584
2.334	0.06571
2.336	0.06536
2.338	0.06496
2.34	0.0652
2.342	0.06539
2.344	0.06509
2.346	0.06486
2.348	0.06472
2.35	0.06453
2.352	0.06289
2.354	0.06239
2.356	0.06282
2.358	0.06266
2.36	0.06308
2.362	0.06305
2.364	0.06295
2.366	0.06284
2.368	0.06263
2.37	0.06211
2.372	0.06207
2.374	0.06066
2.376	0.06164
2.378	0.06192
2.38	0.06172
2.382	0.06098
2.384	0.05885
2.386	0.05908
2.388	0.06004
2.39	0.06029
2.392	0.06008
2.394	0.06003
2.396	0.05996
2.398	0.05989
2.4	0.05944
2.402	0.05965
2.404	0.05945
2.406	0.05919
2.408	0.05915
2.41	0.05902
2.412	0.05894
2.414	0.05734
2.416	0.05599
2.418	0.05748
2.42	0.0577
2.422	0.05767
2.424	0.05726
2.426	0.05717
2.428	0.05712
2.43	0.05712
2.432	0.05702
2.434	0.05641
2.436	0.05618
2.438	0.05599
2.44	0.05639
2.442	0.05617
2.444	0.05603
2.446	0.05498
2.448	0.05457
2.45	0.05462
2.452	0.05432
2.454	0.05455
2.456	0.0537
2.458	0.05392
2.46	0.05457
2.462	0.05442
2.464	0.05435
2.466	0.05405
2.468	0.0539
2.47	0.05285
2.472	0.0533
2.474	0.05313
2.476	0.05343
2.478	0.05303
2.48	0.05177
2.482	0.0514
2.484	0.05219
2.486	0.0516
2.488	0.05169
2.49	0.05225
2.492	0.05198
2.494	0.05175
2.496	0.05152
2.498	0.05154
2.5	0.05155
2.52	0.04984
2.54	0.04814
2.56	0.04672
2.58	0.0455
2.6	0.04457
2.62	0.04305
2.64	0.04211
2.66	0.04079
2.68	0.03968
2.7	0.03867
2.72	0.03763
2.74	0.03663
2.76	0.03546
2.78	0.03468
2.8	0.03385
2.82	0.03297
2.84	0.03209
2.86	0.03119
2.88	0.03032
2.9	0.02969
2.92	0.0289
2.94	0.02817
2.96	0.0275
2.98	0.02682
3	0.02612
3.02	0.02547
3.04	0.02465
3.06	0.02422
3.08	0.02364
3.1	0.02306
3.12	0.02246
3.14	0.02198
3.16	0.02144
3.18	0.02096
3.2	0.02048
3.22	0.02
3.24	0.01951
3.26	0.01907
3.28	0.01858
3.3	0.01802
3.32	0.01768
3.34	0.01737
3.36	0.01697
3.38	0.01659
3.4	0.01615
3.42	0.01584
3.44	0.01554
3.46	0.0152
3.48	0.01486
3.5	0.01456
3.52	0.01425
3.54	0.01393
3.56	0.01362
3.58	0.01334
3.6	0.01307
3.62	0.01281
3.64	0.01251
3.66	0.01222
3.68	0.01193
3.7	0.01162
3.72	0.01145
3.74	0.01108
3.76	0.01096
3.78	0.01078
3.8	0.01057
3.82	0.01038
3.84	0.01019
3.86	0.009983
3.88	0.009782
3.9	0.009599
3.92	0.009427
3.94	0.009233
3.96	0.009032
